0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
1.570477135,0.859244,0.060374124,0.833467,-0.48106606,0.883494,0.778858619,0.871788,0.041075414,0.767979,0.458513682,0.86672,-0.623104647,0.851409,1.570602012,0.664652,0.000188892,0.614537,-1.474453574,0.806907,-1.414502977,0.770217,0.000155741,0.60597,-1.50811587,0.742936,-1.456693689,0.721021,0.624889652,0.912042,-0.509596722,0.873207,-0.156567632,0.652655,0.206719039,0.822608,-1.405475138,0.673464,-0.230766034,0.67314,-0.315203831,0.527895,1.382740091,0.667258,0.273464637,0.646369,1.55052761,0.558749,-0.0764478,-0.709682,-0.0764025,-0.567761,-0.343725,-0.58392,-0.688544,-0.403936,-0.472834,-0.191029,0.190809,-0.556779,0.54458,-0.382158,0.286024,-0.196358,-0.0762985,-0.0325471,-0.248884,-0.0325797,-0.29219,0.415528,-0.352411,0.797693,0.0790877,-0.0325229,0.0526955,0.387985,0.0101305,0.759406,-0.137098,-0.75343,-0.00776494,-0.748064,-0.206077,-0.742541,0.0701647,-0.731721,-0.0163111,0.917887,0.052784,0.901653,-0.00731641,0.765095,-0.32643,0.934216,-0.403869,0.912495,-0.352075,0.814268,0
1.57071881,0.880107,0.015900506,0.842596,-0.374199468,0.885023,0.616477322,0.854701,0.031134314,0.792647,0.365507231,0.844589,-0.561412742,0.836337,1.569658657,0.645559,0.000394813,0.60881,-1.401767676,0.826336,-1.340704714,0.785743,0.021790211,0.619134,-1.388016771,0.787666,-1.482909119,0.707918,0.45738875,0.913578,-0.506824916,0.918328,0.000999959,0.726257,0.048554243,0.807045,-1.219042171,0.647281,-0.122629809,0.637945,-0.23771358,0.536892,1.212618599,0.673118,0.239337715,0.610717,0.992406711,0.553757,0.056059,-0.752065,0.0560699,-0.611451,-0.310114,-0.617274,-0.768642,-0.437209,-0.459516,-0.218161,0.412025,-0.600365,0.881992,-0.420507,0.560795,-0.2185,0.0566962,-0.0609398,-0.150237,-0.0610215,-0.230793,0.411013,-0.321561,0.798513,0.308251,-0.0554575,0.228271,0.377235,0.194116,0.764857,-0.0349303,-0.79685,0.13676,-0.79687,-0.126934,-0.796942,0.251284,-0.791305,0.136361,0.92222,0.228411,0.910875,0.148498,0.77591,-0.264818,0.950101,-0.379143,0.922204,-0.310457,0.815521,0
-0.82594905,0.314331,-0.692358557,0.398713,0.229484532,0.572629,-1.368171932,0.448596,-0.487545511,0.108658,0.975001484,0.100604,0.557437067,0.147313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72740568,0.820579,-0.53140833,0.84433,0.128402143,0.880382,-0.00266172,0.492006,0,0,-1.300498676,0.0744703,0,0,0,0,0,0,0,0,-0.144205,-0.298968,-0.387018,-0.0356184,-0.549074,0.0987761,0.386479,0.317321,0.539558,-0.427793,-0.2072,-0.130965,0.134613,0.373198,0.422602,0.552726,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-0.270235,-0.411167,0.01749,-0.394014,-0.531178,-0.444858,0.170774,-0.394422,0.68312,0.759714,0.692411,0.726182,0.521411,0.585953,0.602554,0.793463,-5,-5,-0.323521,-0.438792,0
-1.474944517,0.76209,0.013952767,0.635859,-1.235417676,0.802455,-1.369952824,0.719895,0.038299341,0.656584,1.301650237,0.714634,1.430443496,0.77776,-1.533678952,0.613541,0.024282549,0.531209,0,0,0,0,0.070198671,0.548737,0,0,0,0,0.799042778,0.893282,-0.841112537,0.875144,0.204301633,0.818523,-0.051887558,0.835326,0,0,0,0,0,0,0,0,-0.636379292,0.0648712,0,0,0.0350569,-0.494778,0.0131832,-0.267274,-0.400328,-0.273044,-0.570312,0.214651,-0.666139,0.685341,0.441284,-0.25087,0.574266,0.23123,0.640796,0.702133,-0.0234286,0.718652,-0.252684,0.713084,-5,-5,-5,-5,0.212555,0.735245,-5,-5,-5,-5,-0.0458583,-0.577932,0.10932,-0.577814,-0.178841,-0.605485,0.212258,-0.58316,-5,-5,-5,-5,-5,-5,0.507728,0.829504,0.515362,0.823863,-5,-5,0
1.487442583,0.455419,-0.042029595,0.329156,1.536486601,0.0942553,0.859673529,0.513463,-0.021177814,0.349782,-0.315527799,0.422452,1.180932563,0.0776172,-1.520442012,0.124934,3.59E-05,0.101808,0,0,0,0,0.111192518,0.11211,0,0,0,0,0.712674387,0.891114,-0.928444605,0.886341,-0.453233606,0.47915,0.545263948,0.881924,0,0,0,0,0,0,0,0,0,0,0.55786116,0.0819094,-0.0451753,-0.453189,-0.0187827,-0.137289,-0.276901,-0.126434,-0.271665,0.0261159,-0.313809,-0.0228044,0.239279,-0.142755,0.523484,-0.235529,0.344481,-0.67117,-0.0715137,0.909025,-0.266378,0.909018,-5,-5,-0.498135,-0.605981,0.123322,0.930779,-5,-5,-5,-5,-0.139967,-0.535107,0.0282955,-0.551385,-0.229693,-0.491406,0.118357,-0.496753,-5,-5,-5,-5,-0.545497,-0.627664,-5,-5,-5,-5,-0.471698,-0.589485,0
0.871908071,0.767419,-0.045931679,0.688531,-0.625388005,0.781535,1.167491315,0.835833,-0.092791567,0.631355,1.249081347,0.841643,1.154127741,0.786163,1.401851182,0.604139,-0.026104169,0.581012,1.555484632,0.471933,0,0,-0.000603093,0.499886,1.452211675,0.20143,0,0,0.896087425,0.950276,-0.510526085,0.957472,0,0,0.027109695,0.760631,0,0,0,0,0,0,0,0,0,0,0,0,-0.167287,-0.671072,0.112551,-0.338086,-0.247187,-0.321551,-0.671118,-0.0154412,-0.839131,-0.409196,0.464479,-0.370836,0.62469,0.109854,0.784492,0.470921,0.248657,0.459857,0.0407298,0.465286,0.0488477,0.995421,-5,-5,0.472503,0.459722,0.536336,0.995487,-5,-5,-0.20687,-0.720554,-0.0789109,-0.720567,-5,-5,0.128713,-0.714937,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0
-1.39286822,0.775721,0.174087223,0.598093,-0.689946636,0.689561,-0.963291031,0.710627,0.154649767,0.622515,1.206171688,0.714917,-1.184857194,0.791451,-1.501067625,0.416051,-0.000126961,0.404878,0,0,0,0,0.069626301,0.333669,0,0,0,0,1.260586366,0.849588,-0.835408446,0.880404,0.396341276,0.832232,0.080041994,0.862462,0,0,0,0,0,0,0,0,0,0,0,0,0.1613,-0.40867,0.130928,-0.239777,-0.148106,-0.28885,-0.557713,0.0491767,-0.326704,-0.283109,0.409642,-0.196327,0.549063,0.168944,0.41395,0.501476,0.0608954,0.762953,-0.10451,0.762974,-5,-5,-5,-5,0.217895,0.773902,-5,-5,-5,-5,0.126344,-0.517717,0.235262,-0.490426,0.0350437,-0.555925,0.305188,-0.484817,-5,-5,-5,-5,0.130693,0.801213,-5,-5,-5,-5,-5,-5,0
-1.481421246,0.627585,0.157888196,0.401667,-0.291752792,0.609706,-1.435820322,0.624876,0.130712546,0.521072,1.464741614,0.411737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.960317596,0.87498,-0.556089462,0.946851,-0.248124286,0.873498,0.52857661,0.855032,0,0,0,0,0,0,0,0,0,0,0,0,0.232431,-0.425187,0.192274,0.0229247,-0.254353,-0.0481843,-0.781214,0.110044,-0.68404,-0.605514,0.690629,0.0884395,0.770896,0.842445,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0.15227,-0.539763,0.347215,-0.496527,-0.0196577,-0.496206,0.478794,-0.419684,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0.117828,-0.545202,0
-0.90384824,0.779953,0.415975114,0.555989,-0.332401661,0.651906,-1.267724063,0.725757,0.393773627,0.694223,1.38400603,0.720558,1.086392831,0.743355,-1.504013932,0.357001,-0.120693973,0.320874,0,0,0,0,0.080714336,0.352721,0,0,0,0,1.226858389,0.905684,1.521172115,0.0837599,0.000183986,0.906397,0,0,0,0,0.078401171,0.0778018,0,0,0,0,0,0,0,0,-0.0798849,-0.507087,-0.294249,-0.234809,-0.515619,-0.3326,-0.878612,-0.207291,-0.740564,-0.648754,-0.0837227,-0.147341,-0.000305712,0.294034,0.14873,0.577253,-0.363145,0.795306,-0.497376,0.811586,-5,-5,-5,-5,-0.228864,0.806168,-5,-5,-5,-5,-0.109104,-0.588665,-0.0836578,-0.583054,-0.228678,-0.588687,-5,-5,-0.0798239,-0.496452,-0.0835407,-0.496744,-0.301414,0.84976,-5,-5,-5,-5,-5,-5,0
-1.335352637,0.503367,0.104818868,0.334735,-1.16031459,0.412697,1.47945963,0.551307,0.073469735,0.312643,1.246599871,0.315493,-1.201556983,0.362707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16311388,0.91066,-0.920398773,0.858345,0.041647405,0.808252,0.235365675,0.825593,0,0,0.988578852,0.0973975,0,0,0,0,-0.977391219,0.0626125,0,0,0.0861993,-0.0777175,-0.0118875,0.33116,-0.374933,0.292966,-0.559997,0.718201,-0.599943,0.282069,0.358278,0.358405,0.546986,0.919947,0.637698,0.685542,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-0.000936747,-0.279478,0.202241,-0.230237,-0.12805,-0.284775,0.292946,-0.208485,-0.712479,-0.464791,-0.705203,-0.453739,-0.705228,-0.459402,-0.698057,-0.470034,-0.701588,-0.464799,-0.0260503,-0.284554,0
0.420235759,0.795006,0.096976754,0.750472,-0.310175111,0.862508,0.414723221,0.813373,0.124432288,0.679871,1.152921105,0.868287,-0.982293814,0.863295,1.062108075,0.656431,-0.001354388,0.601242,-1.439632194,0.730632,1.406707188,0.594792,9.99E-05,0.613654,-1.335183667,0.727535,1.483963701,0.657075,0,0,-1.111092894,0.832589,0,0,-0.036465844,0.866309,-0.306187152,0.673414,0.303951677,0.689655,0.622085967,0.666727,-0.169893432,0.609375,-0.505877126,0.498172,-0.696932287,0.134684,-0.449594,-0.656183,-0.178419,-0.535007,-0.290814,-0.545941,-0.548058,-0.463489,-0.772951,-0.5625,-0.0467337,-0.518536,0.0854583,-0.220824,-0.0797108,0.0266615,0.0919542,-0.0501525,0.0322963,-0.0500717,-0.0200149,0.346461,0.0456417,0.742991,0.171003,-0.0501446,0.0718737,0.362771,0.11167,0.819929,-5,-5,-0.436011,-0.683619,-5,-5,-0.284265,-0.689155,-0.132506,0.89712,-0.0798171,0.913647,0.157864,0.853053,-0.178699,0.781476,-0.158943,0.770532,-0.00714916,0.78718,0
-1.437512744,0.645557,-0.040337223,0.394293,-1.03958314,0.350535,1.460053981,0.431739,-0.08778323,0.677586,1.249063342,0.650385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.562399846,0.775612,-0.972431208,0.842681,-0.112975939,0.839403,0.001846485,0.58957,0,0,0,0,0,0,0,0,0,0,0,0,0.243994,-0.0911739,0.184972,0.349031,-0.226484,0.365637,-0.419591,0.694303,-0.503205,-0.0576398,0.629629,0.309897,0.806062,0.839227,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0.0673662,-0.202502,0.327591,-0.213797,-0.226308,-0.169182,0.445653,-0.213579,-0.453224,-0.174858,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0
-1.49142498,0.572736,0.055601951,0.4497,-1.346638323,0.446572,1.494480887,0.392234,0.070470684,0.392289,1.376393989,0.197097,-1.505305972,0.477633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.982997358,0.856071,-1.026041669,0.915175,-0.351159972,0.72511,0.534433654,0.627918,0,0,-1.563207393,0.0732957,0,0,0,0,0,0,0,0,0.0170548,-0.203106,-0.0263094,0.342092,-0.320456,0.32572,-0.462143,0.947183,-0.509235,0.331311,0.282116,0.363863,0.405549,0.99078,0.438091,0.494593,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-0.0628526,-0.32302,0.0897593,-0.323098,-0.197019,-0.273869,0.173172,-0.273727,-0.436745,-0.38297,-0.436827,-0.372165,-5,-5,-0.0627358,0.336701,-5,-5,-5,-5,0
-1.535547715,0.730335,0.068390756,0.517574,-1.008889358,0.264858,1.119742405,0.546434,0.064852168,0.713784,1.506503368,0.29272,1.41716007,0.312096,1.538365796,0.419175,0.045021227,0.426989,0,0,0,0,-0.043974763,0.383576,0,0,0,0,1.033546966,0.878443,-0.650036484,0.855591,-0.368559725,0.870713,0.799850008,0.790664,0,0,0,0,0,0,0,0,0,0,0,0,-0.0338171,-0.371428,-0.0461258,-0.0223759,-0.204946,-0.0332547,-0.270171,0.0703413,-0.315051,-0.0223179,0.12084,-0.0115326,0.149299,0.430503,0.194097,0.71979,-0.0216964,0.730644,-0.140005,0.725314,-5,-5,-5,-5,0.100454,0.725269,-5,-5,-5,-5,-0.0828215,-0.453692,0.0312289,-0.42088,-0.168141,-0.420741,0.0842061,-0.366349,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0
-0.610665005,0.828001,-0.047883061,0.717712,-0.517823425,0.841126,0.658280528,0.840656,-0.025044396,0.738941,0.406566738,0.828645,-0.425546755,0.881507,1.57064329,0.609615,-0.00063397,0.571817,1.407107947,0.665313,1.551320724,0.69577,-0.000270457,0.565988,-1.407935214,0.690875,1.423414248,0.720665,0.473722231,0.909504,-1.358772074,0.813915,-0.105674504,0.849561,0,0,0.171480863,0.741955,0.872963014,0.712514,1.568772639,0.42287,0.357833803,0.706859,-0.075310724,0.656454,-0.417827801,0.611624,0.0460202,-0.795296,-0.205451,-0.619289,-0.437652,-0.608162,-0.805293,-0.398726,-0.505037,-0.166522,0.0360695,-0.625339,0.365091,-0.483677,0.665008,-0.619612,-0.20536,-0.0246592,-0.350635,-0.0245671,-0.283231,0.383531,-0.273746,0.870489,-0.0511766,-0.0247009,-0.118243,0.383453,-0.0509408,0.836793,-0.0311951,-0.834881,0.0557269,-0.840389,-0.243961,-0.812313,-5,-5,0.210178,0.882014,0.200582,0.870571,-0.0508494,0.881958,-0.0315601,0.96105,-0.108601,0.966863,-0.350508,0.904569,0
-0.612660499,0.845553,0.000212357,0.783033,-0.033915791,0.927964,0.942246393,0.932332,0.029277044,0.800408,-0.025693329,0.801866,-0.260571541,0.852088,-1.207331487,0.702591,0.001099097,0.708959,1.545692234,0.772617,1.346515048,0.768276,0.001035605,0.664617,-1.522049217,0.789288,1.546187563,0.830535,0.416816361,0.87507,-0.476402294,0.884427,-0.152617817,0.881069,0,0,1.496402359,0.667171,-0.364027916,0.645863,-1.272663427,0.627947,1.051507618,0.63874,0.162327759,0.586202,1.103596079,0.639653,0.0405258,-0.428857,-0.110335,-0.322819,-0.303406,-0.32286,-0.637989,-0.311508,-0.504102,-0.127318,0.0822865,-0.317178,0.299727,-0.322766,0.509543,-0.37871,-0.25274,0.0515726,-0.370109,0.0514436,-0.36141,0.397888,-0.28619,0.727628,-0.152026,0.0516769,-0.168911,0.397782,-0.160796,0.727476,-0.0100502,-0.45125,0.0737728,-0.446014,-0.118792,-0.434524,-5,-5,-0.152046,0.844876,-0.093441,0.822547,-0.16941,0.755508,-0.219281,0.84468,-0.286168,0.833726,-0.269408,0.760896,0
-1.537172573,0.674544,0.07956424,0.531893,-1.427205412,0.608365,-1.498552657,0.702235,0.032342252,0.537157,1.540749306,0.534012,1.570297608,0.631358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.920945758,0.900544,-0.796017104,0.86902,-0.41392276,0.833263,0.547121749,0.865961,0,0,0,0,0,0,0,0,0,0,0,0,0.0271562,-0.278363,0.0130475,0.141084,-0.327215,0.113954,-0.440643,0.898456,-0.402801,0.375557,0.353134,0.152087,0.376877,0.942044,0.376627,0.44076,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-0.0392377,-0.365727,0.107383,-0.360312,-0.138133,-0.322282,0.18789,-0.311271,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0
-1.515030786,0.676214,-0.082981823,0.536643,-1.366863807,0.691083,-1.051195451,0.698245,-0.039114947,0.529838,1.279576938,0.487663,0.683150717,0.674894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.093238036,0.855787,-1.072981738,0.814614,-0.000188511,0.85287,-0.139130586,0.874115,0,0,0,0,0,0,0,0,0,0,0,0,0.0164766,-0.244082,-0.000857532,0.0664352,-0.26463,0.0883739,-0.431365,0.894607,-0.309886,0.682243,0.273496,0.0556984,0.492295,0.785658,0.39853,0.709344,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-0.0425999,-0.358237,0.0756054,-0.352881,-0.122171,-0.358222,0.151929,-0.363569,0.0135567,-0.23311,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0
-1.524398345,0.664496,-0.243275164,0.500297,0,0,0,0,-0.187340456,0.630407,0.000270391,0.774481,1.497112366,0.716438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.560048517,0.862172,-0.38676558,0.870146,-0.399509567,0.891116,0.395799571,0.873391,0,0,0,0,0,0,0,0,0,0,0,0,-0.245331,-0.440641,-0.270236,0.0957428,-0.764405,0.218391,-5,-5,-5,-5,0.232288,0.000482678,0.768396,0.000627637,0.734974,-0.452137,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-0.379061,-0.524492,-0.0940244,-0.502265,-0.563628,-0.446565,0.106351,-0.418538,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-0.430044,-0.53538,0
