0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
-1.5306256796,0.886058,0.0002351136,0.807184,-0.0312911097,0.858664,-0.6562146058,0.842309,-0.0001143887,0.829678,-0.1139027253,0.824509,1.3675926282,0.856571,-1.4522954045,0.73411,0.0002234668,0.705598,1.4074734326,0.829153,-1.5489546037,0.767301,-0.0003666586,0.715457,-1.5698567121,0.80658,1.523741272,0.741962,0.5820024182,0.752596,-0.6558980496,0.760707,-0.5321204314,0.898546,0.416322272,0.874399,-1.3602963022,0.723413,-0.1665776757,0.738084,-0.7900849711,0.631211,-1.5678285148,0.757406,0.276304017,0.773333,0.7804589034,0.677614,0
1.5677750084,0.877748,0.0005358841,0.792566,-0.0990749174,0.847113,-0.9109558921,0.903766,0.0256089559,0.785359,0.0226009998,0.833286,-1.5138169854,0.835081,-1.4384193518,0.710176,0.0007922972,0.691142,1.5292469841,0.831457,-1.4733588652,0.755466,0.0007509889,0.703994,-1.3919275651,0.773251,1.5259297577,0.725929,0.5263818466,0.494237,-1.0967360337,0.477546,-0.4634502063,0.851429,0.199484289,0.804177,-0.995413979,0.671837,-0.0001063332,0.641452,1.1683323567,0.495653,-1.21446472,0.757865,0.2570865939,0.768208,0.4270892151,0.625515,0
0.2345186522,0.777096,-0.3697030108,0.691789,-1.3855425878,0.895868,-1.3469507963,0.834469,-0.3621739379,0.774873,0.9816589015,0.837094,0.6439528135,0.775927,1.4430154514,0.670551,-3.74E-05,0.696865,-1.4226932752,0.800829,-1.3974320067,0.803599,5.56E-05,0.638313,-1.3228287316,0.74708,1.5479563382,0.744575,0.8301651333,0.618263,-0.9300368002,0.711616,0,0,-0.360906122,0.851836,-1.2375816506,0.759597,-0.0760225206,0.756097,-0.9209918801,0.605581,-1.5656329646,0.775204,0.3199256569,0.780748,0.5898964362,0.620626,1
-1.3902671576,0.856291,-0.0240400283,0.794866,-0.098769988,0.841132,0.9016788078,0.812917,-0.0436645395,0.817869,0.1116408887,0.866012,-0.7764984614,0.812097,1.5703444818,0.661477,-0.0001065367,0.666552,1.4327267961,0.802057,-1.4498150271,0.710765,-5.66E-05,0.643079,-1.4774771209,0.829733,1.5500037371,0.738606,0.5863980844,0.671686,-0.6924522427,0.61849,-0.3194515312,0.922153,0.2835624972,0.846345,1.5702705572,0.51822,-0.0817218389,0.560095,-1.0302120204,0.542016,1.0766197374,0.515679,0.0033661343,0.513641,0.7346502719,0.545373,2
1.3686709918,0.847158,0.0977239022,0.829218,-1.321658045,0.829437,-1.5382964718,0.902253,0.0241817579,0.874803,1.5069830996,0.802268,-1.296656782,0.875156,-1.4961395108,0.707609,0.0882841383,0.693796,-1.5315415121,0.798305,-1.2907700243,0.765025,0.0424372638,0.687882,-1.3483539185,0.783832,-1.4330588484,0.76287,0.8577537433,0.286918,-0.522305364,0.276959,0.1718294066,0.576153,-0.4355049756,0.841311,-1.373557273,0.702951,-0.0049127217,0.705895,-0.588191663,0.602898,1.5677428592,0.74707,0.0950765806,0.751855,1.0304192061,0.594962,3
1.1669748402,0.920648,-0.1329893033,0.864506,-1.3928027594,0.847842,0.3740527445,0.915845,-0.0541643254,0.857113,1.0182630234,0.858111,0.4710128248,0.88361,1.5361768418,0.684381,0.0005634326,0.704792,1.4269950647,0.827636,1.5467894103,0.823234,0.000344647,0.672973,-1.5289356021,0.806226,1.4844349743,0.766266,1.0869231923,0.788882,-0.519841341,0.795084,-0.4132997602,0.655029,0.1362530743,0.865709,-1.2106571718,0.753182,-0.0961843273,0.781341,-0.5861050552,0.597897,0.964830304,0.765104,0.0016121902,0.759681,1.327821768,0.627296,0
1.5656225877,0.889377,-0.0833433938,0.852739,-0.7009972039,0.835225,1.3036129504,0.863716,-0.0792612055,0.874695,1.0241505672,0.833428,0.7629466326,0.82904,1.5540598547,0.710151,-0.0387354673,0.677307,1.3832891885,0.804497,1.4342280067,0.783499,-0.0383215169,0.6626,1.4658519978,0.796222,1.513985612,0.828004,0.285187418,0.805625,-0.5865668801,0.752445,-0.0852048461,0.911755,0.0755947365,0.868979,-1.562585026,0.741153,-0.2419015937,0.798223,-1.4776126786,0.596573,0.7443445789,0.765143,-0.0011041194,0.773352,1.1298699233,0.689167,0
-0.4413430133,0.826238,0.0785227531,0.81457,0.6192157761,0.856312,-0.379914765,0.754321,0.2400904474,0.865939,1.0309333594,0.871523,0.7542083439,0.869947,-1.4247101958,0.73865,0.0516233116,0.683704,1.4844564759,0.835302,-1.199296786,0.814272,0.0482069377,0.673926,-1.4168712559,0.824662,-1.1932353636,0.789798,0.7857482993,0.622691,-0.4277426923,0.560484,0.2591724607,0.810343,0,0,0.5511815652,0.751708,-0.9192897397,0.850511,-1.1491581009,0.682083,0.7207650943,0.758531,-0.0924906546,0.73493,-0.588539181,0.712313,1
-1.0300620004,0.891355,0.0863104979,0.834204,0.6884683225,0.686665,1.2718663289,0.821837,0.1642613445,0.822945,-0.1312634804,0.828946,-0.7492278774,0.873442,-1.5699027675,0.736352,-0.0416447471,0.706442,1.458586841,0.80953,-1.4909328437,0.781055,-0.0410471246,0.734665,-1.5262980614,0.826963,-1.4380790126,0.765208,1.1053040497,0.814016,-0.4447993454,0.825489,-0.0016830488,0.867465,0.5201477584,0.733209,-1.3198128905,0.743893,-0.0814245115,0.779348,-0.7858899153,0.558929,0.9733026478,0.79035,0.0804324064,0.818511,0.5963778177,0.628147,2
1.0906650769,0.915248,-0.0013790348,0.874284,-1.2783259344,0.854295,-1.4939241018,0.848855,-0.0538423744,0.807652,1.2704581332,0.817286,-1.5299657173,0.871018,-1.5702353109,0.705767,-9.65E-05,0.715694,1.5251435683,0.837669,-1.5461001099,0.797832,0.0004644329,0.728576,-1.4150886415,0.84742,-1.5433905561,0.768923,0.6685487637,0.746512,-0.8608676142,0.720376,0.213824719,0.225016,-0.1098687908,0.949993,-0.96723781,0.831782,-0.0029261378,0.797349,-0.7020711489,0.585123,1.3243304873,0.802644,0.003138136,0.781652,1.0371670624,0.650007,3
-1.3095088861,0.905519,0.0259387391,0.855234,-1.2702506204,0.770264,-0.7541021284,0.477144,-0.0262395584,0.845109,1.2087631675,0.801132,-1.1471753681,0.814418,-1.5162027225,0.635093,-0.0002583199,0.608648,1.4440713048,0.65879,1.3413250722,0.795864,-0.0812801579,0.641727,1.398274477,0.699047,1.3345739424,0.842076,0.8609299105,0.813701,-0.4219811447,0.755277,0.0804831778,0.769366,0.0851526501,0.700041,0.5286312254,0.801442,-0.9217882045,0.855182,-0.9123874253,0.881633,1.1552930382,0.77943,0.0802805887,0.813946,0.5876064946,0.667222,0
0.6386493338,0.697215,0.1794385912,0.74733,-1.2113687197,0.807426,-0.2341717778,0.821409,0.1502193455,0.602906,-1.3546454637,0.555819,1.4199554612,0.842448,-1.47369469,0.677297,0.0476342563,0.669726,1.3851522982,0.738377,1.3540049053,0.831994,0.0552288061,0.639906,1.4279922133,0.769275,1.5698585744,0.842428,0.995328652,0.585209,-0.3223205173,0.380442,0.5471600551,0.572944,0,0,1.4634950574,0.817977,-0.2780162461,0.803267,-1.2611378427,0.683126,1.37436442,0.851488,0.0040638113,0.863388,1.2696334472,0.746738,1
1.4740301009,0.862216,-0.2877702317,0.728935,-0.6161181588,0.819284,0.3899402641,0.769856,-0.3789008866,0.826247,-0.2895909171,0.798682,-1.1538438829,0.848042,1.3393455478,0.596269,-0.0397544572,0.558999,1.5471820574,0.423078,0.1966667085,0.749338,-0.1542401039,0.554777,-1.2418761192,0.46312,-1.1994762248,0.732983,0.1179289393,0.762161,-1.3843700121,0.836308,-0.5401507268,0.913918,0,0,0.854179267,0.641332,0.44953862,0.0592657,-0.37561821,0.58992,-0.726664148,0.672417,0.8388688028,0.5941,0.8139591797,0.626403,2
